Prov/Terr,CD/DR,CSD/SDR,CMA-CA/RMR-AR,Classification,Description,Total - Taxable Returns/Total - Déclarations imposables,Total Income - Taxable Returns/Revenu total - Déclarations imposables,Total Tax - Taxable Returns/Impôt total- Déclarations imposables,Average Income - Taxable Returns/  Revenu moyen - Déclarations imposables,Total - All Returns/Total - Toutes les déclarations,Total Income - All Returns/Revenu total - Toutes les déclarations ,"Under $10,000 - All Returns/Moins de 10 000$ - Toutes les déclarations ","$10,000 to $14,999 - All Returns/10 000$ à 14 999$ - Toutes les déclarations ","$15,000 to $19,999 - All Returns/15 000$ à 19 999$ - Toutes les déclarations","$20,000 to $24,999 - All Returns/20 000$ à 24 999$ - Toutes les déclarations ","$25,000 to $29,999 - All Returns/25 000$ à 29 999$ - Toutes les déclarations","$30,000 to $34,999 - All Returns/30 000$ à 34 999$ - Toutes les déclarations ","$35,000 to $39,999 - All Returns/35 000$ à 39 999$ - Toutes les déclarations","$40,000 to $44,999 - All Returns/40 000$ à 44 999$ - Toutes les déclarations ","$45,000 to $49,999 - All Returns/45 000$ à 49 999$ - Toutes les déclarations","$50,000 to $59,999 - All Returns/50 000$ à 59 999$ - Toutes les déclarations ","$60,000 to $69,999 - All Returns/60 000$ à 69 999$ - Toutes les déclarations ","$70,000 to $79,999 - All Returns/70 000$ à 79 999$ - Toutes les déclarations ","$80,000 to $89,999 - All Returns/80 000$ à 89 999$ - Toutes les déclarations ","$90,000 to $99,999 - All Returns/90 000$ à 99 999$ - Toutes les déclarations ","$100,000 to $149,999 - All Returns/100 000$ à 149 999$ - Toutes les déclarations ","$150,000 to $249,999 - All Returns/150 000$ à 249 999$ - Toutes les déclarations ","$250,000 and over - All Returns/250 000$ et plus - Toutes les déclarations ",Average Income - All Returns/  Revenu moyen - Toutes les déclarations
24,45,105,0,OUT/EXT     ,Stukely-Sud,440,18157000,1589000,41000,730,21529000,130,90,90,80,60,60,50,30,30,50,20,20,10,,,,,30000
24,45,115,0,OUT/EXT     ,Orford,2210,132954000,14692000,60000,3040,143735000,350,250,230,210,190,210,230,180,160,280,190,170,100,60,150,50,20,47000
24,45,0,0,TOTAL       ,Total (CD/DR),10830,571083000,58280000,53000,17120,652188000,2640,1860,1940,1570,1310,1210,1090,990,740,1070,740,540,330,230,520,230,120,38000
24,46,5,0,OUT/EXT     ,Abercorn,160,9341000,907000,58000,270,10483000,50,30,30,20,20,20,20,10,,20,10,,,,10,,,39000
24,46,10,0,OUT/EXT     ,Frelighsburg,560,30450000,3228000,55000,1010,35902000,230,140,100,100,60,60,40,50,30,50,40,30,20,,30,20,10,36000
24,46,17,0,OUT/EXT     ,Saint-Armand,610,30032000,2906000,49000,1050,36231000,170,120,130,100,100,70,70,60,40,50,40,40,20,10,20,10,,35000
24,46,25,0,OUT/EXT     ,Saint-Pierre-de-Véronne-à-Pike-River,220,8924000,682000,40000,400,10958000,90,40,60,40,30,30,30,10,20,20,,,,,,,,27000
24,46,30,0,OUT/EXT     ,Stanbridge Station,160,6468000,475000,41000,260,7412000,50,40,30,20,30,10,20,10,10,20,,,,,,,,29000
24,46,35,0,OUT/EXT     ,Bedford,1650,70271000,6125000,43000,2830,84992000,500,340,380,280,260,230,190,140,110,140,80,70,40,10,30,20,,30000
24,46,45,0,OUT/EXT     ,Stanbridge East,390,16658000,1454000,42000,670,19942000,120,110,80,70,50,50,30,30,30,40,30,10,,,10,,,30000
24,46,50,0,OUT/EXT     ,Dunham,1860,87666000,8306000,47000,2890,99423000,470,290,370,250,210,220,200,170,120,210,150,70,50,30,50,30,,34000
24,46,58,0,OUT/EXT     ,Sutton,2040,109468000,10808000,54000,3340,126862000,540,390,390,300,260,210,180,190,140,200,140,110,60,50,110,50,30,38000
24,46,65,0,OUT/EXT     ,Bolton-Ouest,340,22169000,2419000,65000,540,24738000,90,70,60,50,40,30,30,30,20,30,20,20,10,,30,10,,46000
24,46,70,0,OUT/EXT     ,Brome,180,9522000,1005000,53000,330,11179000,80,40,30,30,20,20,20,10,20,20,10,,,,,,,34000
24,46,75,0,OUT/EXT     ,Lac-Brome,2720,170384000,19380000,63000,4420,193580000,710,480,500,350,330,280,270,250,190,280,200,160,100,50,140,90,60,44000
24,46,90,0,OUT/EXT     ,Brigham,1270,54168000,4715000,43000,1920,61752000,310,180,220,170,170,180,150,120,90,140,70,50,30,,30,,,32000
24,46,95,0,OUT/EXT     ,Saint-Ignace-de-Stanbridge,270,13108000,1397000,48000,490,15829000,90,70,50,50,30,40,30,30,20,30,20,10,10,,,,,32000
24,46,100,0,OUT/EXT     ,Notre-Dame-de-Stanbridge,300,12462000,1040000,41000,540,15415000,90,70,70,60,40,40,40,40,20,30,20,10,,,,,,29000
24,46,105,0,OUT/EXT     ,Sainte-Sabine,490,23304000,2287000,47000,810,27041000,160,90,80,60,70,70,50,40,40,70,40,20,,,10,,,33000
24,46,112,0,OUT/EXT     ,Farnham,4130,170314000,14330000,41000,6860,203948000,1100,840,880,680,590,550,500,380,340,400,250,150,70,30,60,30,,30000
24,46,0,0,TOTAL       ,Total (CD/DR),17350,844708000,81463000,49000,28610,985687000,4830,3330,3440,2640,2300,2090,1850,1560,1240,1750,1140,780,450,240,540,270,150,34000
24,47,25,0,OUT/EXT     ,Waterloo,1960,81689000,7074000,42000,3550,101326000,690,460,480,360,310,250,240,190,110,190,100,70,40,20,40,,,29000
24,47,30,0,OUT/EXT     ,Warden,130,4736000,348000,36000,270,6519000,50,40,50,30,20,20,20,10,,10,,,,,,,,24000
24,47,35,0,OUT/EXT     ,Shefford,3740,196738000,20849000,53000,5460,216528000,830,500,470,400,380,380,390,350,300,450,310,220,140,100,140,60,30,40000
24,47,40,0,OUT/EXT     ,Saint-Joachim-de-Shefford,530,21111000,1766000,40000,880,25130000,160,100,110,90,80,60,80,40,40,50,40,20,,,,,,29000
24,47,47,0,OUT/EXT     ,Roxton Pond,1920,84585000,7547000,44000,3020,97457000,480,360,360,280,250,270,230,180,130,180,110,80,30,30,40,10,10,32000
24,47,55,0,OUT/EXT     ,Sainte-Cécile-de-Milton,960,43873000,3871000,46000,1520,50172000,280,140,170,140,100,120,120,90,70,140,60,30,10,,30,,,33000
24,47,0,0,TOTAL       ,Total (CD/DR),9230,432732000,41454000,47000,14700,497132000,2490,1590,1630,1310,1150,1110,1080,860,660,1010,620,410,230,150,250,90,50,34000
24,48,10,0,OUT/EXT     ,Roxton Falls,1240,46852000,3611000,38000,2150,57713000,390,280,280,200,190,210,160,130,90,90,50,30,10,,20,,,27000
24,48,20,0,OUT/EXT     ,Sainte-Christine,300,10981000,813000,36000,560,14115000,110,80,90,50,50,40,40,30,10,30,10,,,,,,,25000
24,48,28,0,OUT/EXT     ,Acton Vale,3560,137421000,11045000,39000,6400,172223000,1110,830,990,640,550,590,480,340,230,260,160,100,30,30,40,20,,27000
24,48,38,0,OUT/EXT     ,Upton,1000,39648000,3139000,40000,1680,48181000,260,220,210,170,160,140,120,100,70,80,60,30,20,10,10,,,29000
24,48,45,0,OUT/EXT     ,Saint-Théodore-d'Acton,640,26284000,2075000,41000,1090,31815000,200,140,130,80,90,110,100,60,40,70,20,10,,,10,,,29000
24,48,50,0,OUT/EXT     ,Saint-Nazaire-d'Acton,390,16205000,1207000,42000,660,19795000,110,100,80,70,50,60,70,30,30,40,20,,,,,,,30000
24,48,0,0,TOTAL       ,Total (CD/DR),7130,277392000,21890000,39000,12540,343842000,2190,1650,1800,1210,1080,1140,960,690,470,570,320,190,80,50,90,30,20,27000
24,49,5,0,OUT/EXT     ,Saint-Félix-de-Kingsey,630,24515000,1934000,39000,1160,30699000,240,150,150,140,100,90,80,50,40,60,30,20,10,,,,,26000
24,49,15,0,OUT/EXT     ,Durham-Sud,430,16552000,1314000,38000,870,21728000,210,130,120,80,80,60,50,30,40,30,20,20,,,,,,25000
24,49,20,0,OUT/EXT     ,Lefebvre,340,12966000,1030000,38000,630,16123000,140,80,90,70,40,50,50,30,30,20,10,10,,,,,,26000
24,49,25,0,OUT/EXT     ,L'Avenir,570,21990000,1827000,39000,990,27122000,180,130,140,100,90,70,80,60,40,50,20,10,10,,,,,27000
24,49,40,0,OUT/EXT     ,Wickham,1180,49560000,4187000,42000,2030,59380000,400,260,240,180,170,170,170,120,90,90,50,40,20,10,20,,,29000
24,49,75,0,OUT/EXT     ,Notre-Dame-du-Bon-Conseil,1110,44961000,3757000,41000,1840,54172000,280,240,250,160,160,150,140,120,80,120,80,40,20,10,10,,,29000
24,49,85,0,OUT/EXT     ,Sainte-Brigitte-des-Saults,370,15327000,1225000,41000,610,17767000,110,80,70,50,60,50,50,40,20,30,20,10,,,,,,29000
24,49,100,0,OUT/EXT     ,Saint-Edmond-de-Grantham,280,12264000,1204000,45000,470,14574000,90,50,50,40,50,30,40,30,30,30,,10,,,,,,31000
24,49,105,0,OUT/EXT     ,Saint-Eugène,510,20203000,1580000,40000,870,24731000,160,110,120,70,70,70,70,50,30,50,30,20,,,,,,28000
24,49,113,0,OUT/EXT     ,Saint-Guillaume,640,26512000,2074000,41000,1160,32596000,220,160,160,120,90,80,90,70,50,50,30,20,,,,,,28000
24,49,125,0,OUT/EXT     ,Saint-Bonaventure,500,20187000,1661000,40000,800,23613000,130,100,100,70,70,70,60,40,40,60,30,20,,,,,,30000
24,49,130,0,OUT/EXT     ,Saint-Pie-de-Guire,210,8587000,657000,41000,350,10117000,60,50,40,30,40,30,30,10,10,20,,,,,,,,29000
24,49,0,0,TOTAL       ,Total (CD/DR),6760,273624000,22450000,41000,11780,332622000,2210,1530,1510,1120,1010,920,890,650,490,590,320,220,100,60,100,30,20,28000
24,50,5,0,OUT/EXT     ,Sainte-Eulalie,380,14457000,1113000,38000,720,18598000,160,90,110,70,60,60,40,30,30,40,20,10,,,,,,26000
24,50,13,0,OUT/EXT     ,Aston-Jonction,160,5948000,450000,38000,290,7370000,70,40,40,30,20,30,20,20,,10,,,,,,,,25000
24,50,23,0,OUT/EXT     ,Saint-Wenceslas,520,21034000,1611000,41000,900,25347000,180,90,130,90,60,70,60,50,40,50,40,10,10,,,,,28000
24,50,30,0,OUT/EXT     ,Saint-Célestin,720,29815000,2406000,41000,1130,34477000,170,130,150,100,90,80,120,60,50,60,50,20,,10,10,,,31000
24,50,42,0,OUT/EXT     ,Saint-Léonard-d'Aston,1010,43952000,3732000,44000,1780,53428000,310,220,250,150,140,130,150,90,90,110,70,40,10,20,20,,,30000
